district,state
belgaum,karnataka
bagalkot,karnataka
bijapur,karnataka
bidar,karnataka
raichur,karnataka
koppal,karnataka
gadag,karnataka
dharwad,karnataka
uttara kannada,karnataka
haveri,karnataka
bellary,karnataka
chitradurga,karnataka
davanagere,karnataka
shimoga,karnataka
udupi,karnataka
chikmagalur,karnataka
tumkur,karnataka
bangalore,karnataka
mandya,karnataka
hassan,karnataka
dakshina kannada,karnataka
kodagu,karnataka
mysore,karnataka
chamarajanagar,karnataka
gulbarga,karnataka
yadgir,karnataka
kolar,karnataka
chikkaballapura,karnataka
bangalore rural,karnataka
ramanagara,karnataka
